TRY04   Nordostdeutsches Tiefland                                          (Klimaregion  4)
Station: Potsdam                         WMO-Nummer: 10379
Lage: 52°23'N <- B.  13°04'O <- L.    81 Meter über NN
Zeitpunkt der Erstellung: November 2010
 
Art des TRY    : extremer Winter
Bezugszeitraum : 2021-2050
Stadteffekt    : -----
Höhenkorrektur : -----
 
Datenbasis 1: Beobachtungsdaten Zeitraum 1988-2007
Datenbasis 2: Klimasimulationen Zeitraum 1971-2000 (Basis SRES-20C / ECHAM5-OM Lauf 1 / CLM; REMO-UBA; STAR2; WETTREG2006 und WETTREG2010)
Datenbasis 3: Klimasimulationen Zeitraum 2021-2050 (Basis SRES-A1B / ECHAM5-OM Lauf 1 / CLM; REMO-UBA; STAR2; WETTREG2006 und WETTREG2010)
 
Format: (i2,2x,i4,2x,i2,2x,i2,2x,i2,2x,i1,2x,i3,2x,f6.1,2x,f6.1,2x,f7.1,2x,f6.1,2x,i3,2x,i2,2x,i4,2x,i4,1x,i1,2x,i4,2x,i5,2x,i1)
 
Reihenfolge der Parameter:
RG TRY-Region                                                           {1..15}
IS Standortinformation                                                  {1,2}
MM Monat                                                                {1..12}
DD Tag                                                                  {1..28,30,31}
HH Stunde (MEZ)                                                         {1..24}
N  Bedeckungsgrad                                              [Achtel] {0..8;9}
WR Windrichtung in 10 m Höhe über Grund                        [°]      {0;10..360;999}
WG Windgeschwindigkeit in 10 m Höhe über Grund                 [m/s]
t  Lufttemperatur in 2m Höhe über Grund                        [°C]
p  Luftdruck in Stationshöhe                                   [hPa]
x  Wasserdampfgehalt, Mischungsverhältnis                      [g/kg]
RF Relative Feuchte in 2 m Höhe über Grund                     [%]      {1..100} 
W  Wetterereignis der aktuellen Stunde                                  {0..99}  
B  Direkte Sonnenbestrahlungsstärke (horiz. Ebene)             [W/m²]   abwärts gerichtet: positiv 
D  Difuse Sonnenbetrahlungsstärke (horiz. Ebene)               [W/m²]   abwärts gerichtet: positiv
IK Information, ob B und oder D Messwert/Rechenwert                     {1;2;3;4;9}
A  Bestrahlungsstärke d. atm. Wärmestrahlung (horiz. Ebene)    [W/m²]   abwärts gerichtet: positiv
E  Bestrahlungsstärke d. terr. Wärmestrahlung                  [W/m²]   aufwärts gerichtet: negativ
IL Qualitätsbit für die langwelligen Strahlungsgrößen                   {1;2;3;4;5;6;7;8;9}

 
RG    IS  MM  DD  HH  N   WR      WG       t       p        x   RF   W     B     D IK    A      E IL
***
04     1   1   1   1  6  160     3.6     1.4   1002.7     3.5   97  10     0     0 9   235   -307  9
04     1   1   1   2  6  180     3.6     0.2   1007.9     3.5   97  40     0     0 9   256   -309  9
04     1   1   1   3  6  190     3.8    -0.8   1011.9     3.5   97  40     0     0 9   256   -309  9
04     1   1   1   4  7  190     3.8    -0.7   1011.8     3.5   99  10     0     0 9   277   -310  9
04     1   1   1   5  7  190     4.0    -0.7   1011.6     3.4   97  10     0     0 9   243   -307  9
04     1   1   1   6  8  180     4.0    -0.5   1011.4     3.5   98  10     0     0 9   285   -311  9
04     1   1   1   7  6  170     4.0    -0.7   1011.1     3.5   97  10     0     0 9   240   -307  9
04     1   1   1   8  7  190     5.0    -0.6   1011.2     3.5   98  10     0     0 9   278   -310  9
04     1   1   1   9  7  200     5.0    -0.2   1011.2     3.6   96  10     0    17 9   280   -312  9
04     1   1   1  10  7  180     4.0     0.2   1011.0     3.7   96  10     0    44 9   255   -312  9
04     1   1   1  11  7  180     4.0     0.3   1010.7     3.6   94  10     0    53 9   267   -314  9
04     1   1   1  12  7  190     4.0     0.5   1010.3     3.7   94  10     0    42 9   284   -316  9
04     1   1   1  13  7  190     3.0     0.8   1009.4     3.8   95  10     0    58 9   285   -317  9
04     1   1   1  14  8  200     3.0     1.2   1008.9     3.9   95  10     0    50 9   306   -320  9
04     1   1   1  15  8  200     3.0     1.2   1008.6     3.9   96  77     0    25 9   306   -320  9
04     1   1   1  16  8  200     4.0     1.2   1008.7     4.0   96  58     0     8 9   287   -319  9
04     1   1   1  17  8  200     4.0     1.1   1008.6     3.9   96  63     0     0 9   287   -318  9
04     1   1   1  18  8  190     4.0     1.3   1008.5     4.0   96  61     0     0 9   288   -319  9
04     1   1   1  19  8  200     4.0     1.5   1008.4     4.1   97  61     0     0 9   289   -320  9
04     1   1   1  20  8  210     3.0     1.6   1008.6     4.1   98  59     0     0 9   289   -321  9
04     1   1   1  21  8  230     3.0     1.7   1009.1     4.2   98  51     0     0 9   290   -321  9
04     1   1   1  22  9  280     4.0     2.0   1009.5     4.3   99  47     0     0 9   310   -324  9
04     1   1   1  23  8  310     4.0     2.9   1010.3     4.5   98  28     0     0 9   314   -328  9
04     1   1   1  24  8  300     4.0     3.4   1011.1     4.7   99  10     0     0 9   298   -329  9
04     1   1   2   1  8  290     4.0     3.4   1011.5     4.7   99  10     0     0 9   317   -331  9
